,Autoformer,BiMamba,CARD,Chronos,CoST,Crossformer,DLinear,FITS,FedFormer,GPT4TS,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,Gated_TabNet,Informer,LTSF_Linear,Lag_Llama,MambaFormer,Moirai,NBEATS,NHits,PatchTST,RLinear,Reformer,S_Mamba,TEMPO,TFT,TTM,TimeMachine,TimeMixer,TimeXer,Time_MoE,TimesFM,TimesNet,UniTS,iTransformer
Autoformer,0.0,-3.816404774244352,0.30624553439625646,1.674980741558612,0.722639192882161,-1.6348331077529328,2.555159070364303,-0.7723612930689241,-1.4280097752853376,-2.574338289332049,-0.44208949949596354,1.3615710218029953,-1.5145161402328169,0.8935226844826826,-2.2823648746054164,1.180498646082611,-1.3678736846135902,1.1437480176730053,0.7419156210879709,-1.0089133288195369,-1.386640674034374,-0.844640758588142,1.2335055854698498,0.24353815890081607,0.9587037671453856,-2.5465313420058964,2.513046670194185,-2.0302382346565992,-2.182885203971848,0.9909209135931532,1.3721068181673846,1.4880031310422346,4.889677247262791,4.711405242267616,-1.4966310078583578,-3.2477115094634823,-0.8396135964400623,0.16779310447454504,2.263506060125099,-2.2806877479312355,0.6282130252990507,-3.799324931790475,1.5720991127556134,3.2163487414953766,0.8576373478338678,-1.0162755258319889,0.8312967061007354
BiMamba,3.816404774244352,0.0,3.9367829166006967,3.971163742010567,3.575198505174331,-0.11699460519857094,4.930046778049817,3.2182620416142376,0.5597641650101438,-0.9994479204000274,3.552533570461158,4.1167854467739415,0.885962100617422,3.6631763018156436,0.704665164796632,3.0317138994089756,0.41361428373768555,3.734953154463692,3.6364284629873764,2.0915730270075357,1.9284640666357937,2.397986211348746,3.6148906552266857,2.130446956403892,3.5358729967706752,-0.4683264941619544,5.014804619936323,0.5095190640117648,0.8478652336150794,4.142730517808999,4.171440627131943,4.679018776745931,5.620547492585579,5.90889944056092,1.5882003298913505,1.661594749584213,2.8814650760604468,3.291702307212622,4.607588402448509,1.3606293589129126,3.9017341539251857,-2.627801672742776,4.399868927343111,4.7408672542480925,4.263695081931427,2.072907047346389,2.9657908463898406
CARD,-0.30624553439625646,-3.9367829166006967,0.0,1.4929772363387508,0.46102508686247434,-1.7740052987757602,1.8650301662006572,-0.9625061548967772,-1.7087773864812976,-2.625992371147519,-0.7106992462401521,1.4467724212543627,-1.9846251853831978,0.8422864806540836,-2.980452098001638,1.1298826571767084,-1.68507712269202,1.1479029227173454,0.49537201515085016,-1.4303717645598706,-1.9830618531456394,-1.3035726067256637,1.1098822935192914,0.11526875845985449,0.8362274208763804,-2.6350255097742163,2.4064595835426505,-2.596856628304101,-2.2485128182884244,0.49122715440207887,1.4033908605971195,1.3616514500160075,5.2936439901093415,4.71125095393437,-1.8672571696634181,-2.8113939743097163,-1.0225945484833545,-0.10270774920741055,2.28834722859787,-2.707836831508503,0.3839944005390896,-3.770314412701916,1.3816836840073234,3.3849782069706342,0.7726406666305204,-1.2049419754797834,0.5872408853228446
Chronos,-1.674980741558612,-3.971163742010567,-1.4929772363387508,0.0,-1.0359466650177334,-2.2941829088630445,-0.20889273734319022,-2.3075201678695345,-2.140833720622527,-3.245889625363747,-2.044830254402622,-0.2983696815919713,-3.035908732473494,-0.7445371717045032,-3.8374142462240464,0.11411686578912027,-2.2973976180635156,-0.4755687895395818,-1.101573320154759,-2.5734752271924917,-3.0735929301193594,-2.4083161209413655,-0.5469180808723237,-0.6841509928178559,-0.7806171242387313,-3.390926879781071,-0.11278292963711005,-3.537455050480016,-3.1659841528262254,-1.0103332429006968,-0.4009269869507369,-0.5593527090281346,3.0222343551851165,2.7669041679686455,-2.4440185330008712,-3.4121444979675144,-1.8962748262016331,-1.502566857437859,0.2538076166019046,-3.0053835469911934,-1.0798089482838236,-4.18950111669134,-0.5774221510356027,1.4624033531869394,-0.9811092936487243,-2.1438175390744854,-0.6848205279971241
CoST,-0.722639192882161,-3.575198505174331,-0.46102508686247434,1.0359466650177334,0.0,-1.8326274507734266,1.1623361467408537,-1.2103333793206412,-1.8235142505227317,-2.70015004836986,-0.854601757542692,0.8069114700615385,-2.0228998248994974,0.2684439885487461,-2.895884316469234,0.8291790130261548,-1.6428965725192204,0.5717873690469644,-0.018093392301952074,-1.5019349600798722,-1.9757662176649038,-1.453538292544555,0.5473089048287699,-0.0953371372092145,0.3549831189207623,-2.7085175905557084,1.581756506524871,-2.4592362154666723,-2.5290730552370104,0.02512835690385804,0.7589267619462416,0.6583723776051322,4.2455864969534005,4.0303029967184445,-1.7974068389519398,-3.0932979710628663,-1.4303708501045778,-0.4217686253300773,1.8366059775011434,-3.065736208497381,-0.11696257534220021,-3.7907795116440006,0.719178523806014,2.446020839050288,0.14113979819293002,-1.2473042590974086,0.19853422472617616
Crossformer,1.6348331077529328,0.11699460519857094,1.7740052987757602,2.2941829088630445,1.8326274507734266,0.0,2.2505297048498902,1.3833632589143705,0.4775893353772143,-0.5778511258262753,1.4369881982649508,2.1635225267253198,0.6861500990817764,2.0747971798955254,0.49306085301099756,2.355389010759727,0.4021011107326861,2.0814889746527943,1.947218972058619,1.1704641561591562,1.0267446330864234,1.2815795005943733,2.164310263004945,1.5478207899595058,1.9997195456210248,-0.16130377744363522,2.3064959725025056,0.37942383045392175,0.535060502057199,1.8841735306349243,2.2539829830499962,2.126074691197015,3.5468099774462925,3.6701049475007825,0.8889899785586439,0.6649148523139087,1.4024500182557527,1.6365329842731742,2.4326458760111453,0.7079115754213018,1.8462668238912296,-1.890571367334414,2.1294225543263163,2.8752985163415095,1.9210990876425411,1.0327189549352798,1.9307406745699676
DLinear,-2.555159070364303,-4.930046778049817,-1.8650301662006572,0.20889273734319022,-1.1623361467408537,-2.2505297048498902,0.0,-2.4523956150955257,-2.281833674890706,-3.045907968586253,-1.7718130440204205,-0.12680992162697485,-2.449179200225287,-0.6931115996377992,-3.613123809005278,0.26316957195779994,-2.0841882857826413,-0.4272830090922059,-1.2905386100918403,-2.3201213668464886,-2.6237797258291624,-2.310554679206423,-0.3856390534474265,-0.6189820614706472,-0.5897799579503623,-3.184749196755763,0.1966897131420681,-3.0100369020874633,-3.191001156637277,-1.4280524972679685,-0.15955581581174466,-0.34430975120361557,3.747107146363388,3.5054144234450506,-2.746634756538607,-4.46772126900787,-3.21482905667014,-1.5043037865346416,0.6186750823326751,-3.9628312373228205,-1.5407055871811688,-4.328963835507913,-0.5005049534020289,1.7893550547349368,-1.1420082400109217,-1.9417373530510986,-0.6728676119583178
FITS,0.7723612930689241,-3.2182620416142376,0.9625061548967772,2.3075201678695345,1.2103333793206412,-1.3833632589143705,2.4523956150955257,0.0,-1.1142723686656888,-2.623096639180504,0.21418685770893908,1.893517256907717,-1.264712076136399,1.5662537088939228,-1.8957362349785019,1.5704035177057405,-1.1523095082130468,1.5873080187405146,1.3842371210814501,-0.5715727809665562,-1.0436436400034435,-0.32867661166908446,1.669727510297034,0.5674620161409107,1.5081584364498097,-2.526846144126944,2.7425536863464255,-1.8218483861837644,-1.8000176507383725,1.312558397310195,2.16932469481645,2.8147861188513934,5.37054750682561,5.354893333568885,-1.04541660322528,-1.981526875600477,-0.01774125798457219,0.8398371291890688,2.9052886524532835,-1.5276695310849493,1.1569373691395328,-3.5701662500269618,2.1429935722485105,3.8359302849301335,1.4522748937574088,-0.8094421309651014,1.1735091509519682
FedFormer,1.4280097752853376,-0.5597641650101438,1.7087773864812976,2.140833720622527,1.8235142505227317,-0.4775893353772143,2.281833674890706,1.1142723686656888,0.0,-1.1839087898754088,1.1517587063472474,2.7653915935951003,0.20295050940967552,2.0324367101516247,-0.08877730825426709,2.0078986972939683,-0.07995552082224587,2.6252605142437573,1.823094908813714,0.9774486563212067,0.736735451042526,1.0481951831072631,2.076813675925157,1.881803949652131,2.0187784646529554,-0.7730905838976089,2.509377859272399,-0.169235978788041,0.0057976929143227504,1.886919152976645,2.2217320523251916,2.2404260366372757,4.0068706788444715,4.266639652671786,0.5288535614775924,0.17603128604699783,1.2002787175724428,1.5054475656225723,2.7498051202741074,0.2057648932780217,1.8651732422121778,-2.4962579597312353,2.1826011152740175,3.5410598620261244,2.0003002777320735,0.6555786230490285,1.83555630534575
GPT4TS,2.574338289332049,0.9994479204000274,2.625992371147519,3.245889625363747,2.70015004836986,0.5778511258262753,3.045907968586253,2.623096639180504,1.1839087898754088,0.0,2.785337978754038,2.958681897917265,1.4801166288902103,2.9636260207214136,1.31198929922764,3.1668682444543412,1.0113387190649485,2.874714347333678,2.899536246781135,2.1698346336193137,2.0855223428106857,2.3243365931102664,2.879885824247428,2.2958420735136094,2.7899336689754963,0.6145265590438388,3.1408382685413208,1.1369865607403769,1.544397762814581,2.7493757468328175,3.2871241141723755,3.3520822386446394,4.351632715238983,4.496677255693873,1.766772253853342,1.5064534631426245,2.1990553410781395,2.7455709743025385,3.3333722810142907,1.4709017144053318,2.6909852601360416,-1.4233481150825738,2.9634705031594653,3.8732740609062355,2.869794105483305,2.386961841222215,2.6554578563435376
